gene	num_snps	num_mirs	num_diseases	auto_reg
SUPT20H	0	0	0	no_feedback
SOX2	3	9	1	auto_regulate
ATRX	7	34	1	no_feedback
SOX13	13	17	1	no_feedback
SSRP1	3	1	1	no_feedback
MYBL2	9	9	1	no_feedback
NFKB1	12	1	1	auto_regulate
BCOR	1	5	1	auto_regulate
PAX6	24	12	1	no_feedback
ZC3H11A	20	6	1	no_feedback
CIITA	10	1	1	auto_regulate
ASH2L	1	7	1	no_feedback
NFKB2	1	1	1	auto_regulate
EPAS1	15	18	1	no_feedback
FOXK1	63	15	1	auto_regulate
RBP2	1	1	1	no_feedback
POU2F1	11	1	1	auto_regulate
UCREBBP	0	0	0	no_feedback
PROX1	1	4	1	auto_regulate
TSC22D4	4	6	1	no_feedback
T	10	2	1	auto_regulate
NCOA1	8	49	1	auto_regulate
CBX2	11	29	1	no_feedback
CLOCK	16	56	3	no_feedback
CRY1	3	1	1	no_feedback
ZNF92	7	1	1	no_feedback
TP73	5	1	1	auto_regulate
JMJD6	16	4	1	auto_regulate
TCF25	4	1	1	no_feedback
GSPT2	1	8	1	no_feedback
ZNF766	8	1	1	no_feedback
BRF2	1	11	1	no_feedback
BRD3	42	18	1	auto_regulate
DEAF1	3	1	1	no_feedback
KMT2A	0	0	0	auto_regulate
BACH2	57	76	1	auto_regulate
HOXB13	15	1	1	auto_regulate
HNF1B	10	16	1	no_feedback
SND1	4	4	1	auto_regulate
UBN1	23	22	1	no_feedback
ESR2	1	1	7	no_feedback
ONECUT1	2	6	1	auto_regulate
PCGF2	17	11	1	no_feedback
ZNF740	21	18	1	no_feedback
USP7	11	10	1	no_feedback
ZNF165	1	1	1	no_feedback
CEBPG	17	11	1	auto_regulate
ELK4	4	1	1	no_feedback
SATB1	9	40	1	no_feedback
MEIS1	4	26	1	auto_regulate
ZNF318	8	1	1	no_feedback
ZC3H8	3	1	1	no_feedback
IRF3	1	1	1	no_feedback
CEBPZ	1	1	1	no_feedback
ZNF589	12	1	1	no_feedback
PPARGC1A	26	47	1	no_feedback
NFKBIA	15	2	4	auto_regulate
BMI1	15	17	1	auto_regulate
BDP1	5	8	1	no_feedback
SMARCC2	16	2	1	no_feedback
RYBP	42	39	1	no_feedback
YAP1	10	11	1	auto_regulate
ZNF217	13	39	1	auto_regulate
HDAC6	1	1	1	no_feedback
BRF1	6	1	1	no_feedback
KMT2B	0	0	0	no_feedback
NR5A2	21	20	1	no_feedback
OTX2	6	18	1	no_feedback
LHX2	3	5	1	auto_regulate
SOX10	5	4	1	no_feedback
HOXA9	9	23	1	no_feedback
EOMES	3	13	1	auto_regulate
HINFP	3	2	1	no_feedback
SMAD4	31	50	1	no_feedback
WRNIP1	3	10	1	no_feedback
CBX4	6	27	1	no_feedback
HHEX	1	7	1	no_feedback
ATF4	1	1	1	no_feedback
EHF	23	9	1	no_feedback
MEF2C	19	29	1	auto_regulate
CDK2	10	17	1	no_feedback
MEF2B	1	1	1	no_feedback
ZZZ3	1	19	1	no_feedback
PTTG1	1	1	1	no_feedback
