mir	auto	count
hsa-miR-296-3p	no_feedback	9
hsa-miR-24-2-5p	no_feedback	1
hsa-miR-662	auto_regulate	1
hsa-miR-149-5p	auto_regulate	4
hsa-miR-149-5p	no_feedback	14
hsa-miR-615-5p	auto_regulate	5
hsa-miR-379-5p	auto_regulate	1
hsa-miR-615-3p	auto_regulate	26
hsa-miR-615-3p	no_feedback	26
hsa-miR-511-5p	auto_regulate	6
hsa-miR-511-5p	no_feedback	1
hsa-miR-1297	no_feedback	3
hsa-miR-1297	auto_regulate	5
hsa-miR-31-3p	auto_regulate	2
hsa-miR-31-3p	no_feedback	3
hsa-miR-490-3p	auto_regulate	5
hsa-miR-490-3p	no_feedback	3
hsa-miR-320d	no_feedback	1
hsa-miR-320d	auto_regulate	4
hsa-miR-644a	auto_regulate	5
hsa-miR-644a	no_feedback	3
hsa-miR-450a-1-3p	auto_regulate	6
hsa-miR-450a-1-3p	no_feedback	4
hsa-miR-495-3p	auto_regulate	8
hsa-miR-495-3p	no_feedback	5
hsa-miR-574-5p	auto_regulate	11
hsa-miR-574-5p	no_feedback	8
hsa-miR-760	no_feedback	3
hsa-miR-760	auto_regulate	3
hsa-miR-181a-3p	no_feedback	1
hsa-miR-589-5p	auto_regulate	1
hsa-miR-1270	auto_regulate	3
hsa-miR-1270	no_feedback	5
hsa-miR-620	auto_regulate	3
hsa-miR-620	no_feedback	5
hsa-miR-299-3p	no_feedback	2
hsa-miR-299-3p	auto_regulate	3
hsa-miR-506-3p	auto_regulate	7
hsa-miR-506-3p	no_feedback	3
hsa-miR-624-3p	auto_regulate	5
hsa-miR-624-3p	no_feedback	2
hsa-miR-454-3p	no_feedback	5
hsa-miR-454-3p	auto_regulate	12
hsa-miR-30b-3p	no_feedback	6
hsa-miR-30b-3p	auto_regulate	11
hsa-miR-449c-5p	auto_regulate	4
hsa-miR-449c-5p	no_feedback	1
hsa-miR-596	auto_regulate	1
hsa-miR-142-5p	auto_regulate	9
hsa-miR-142-5p	no_feedback	5
hsa-miR-501-5p	auto_regulate	4
hsa-miR-501-5p	no_feedback	1
hsa-miR-362-3p	auto_regulate	19
hsa-miR-362-3p	no_feedback	6
hsa-miR-374b-5p	auto_regulate	8
hsa-miR-374b-5p	no_feedback	3
hsa-miR-744-5p	auto_regulate	7
hsa-miR-744-5p	no_feedback	11
hsa-miR-652-3p	no_feedback	3
hsa-miR-652-3p	auto_regulate	4
hsa-miR-590-3p	auto_regulate	12
hsa-miR-590-3p	no_feedback	4
